TSI NanoScan SMPS Model 3910
Mode,Single
Serial Number,3910131505
Last Calibrated,2016/01/11


File Index,1
Sample #,1
Date,2022/11/29
Time,16:13:14
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),20,

Time Elapsed (s),Number (#/cm3),Status
Date,2022/11/29
Time,16:24:51
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),80,

Time Elapsed (s),Number (#/cm3),Status
1,256.0800,No errors
2,236.6400,No errors
3,244.0800,No errors
4,246.4800,No errors
5,248.6400,No errors
6,244.8000,No errors
7,244.5600,No errors
8,246.9600,No errors
9,247.2000,No errors
10,251.0400,No errors
11,251.5200,No errors
12,247.2000,No errors
13,238.0800,No errors
14,260.6400,No errors
15,272.1600,No errors
16,248.4000,No errors
17,249.8400,No errors
18,246.2400,No errors
19,266.4000,No errors
20,267.3600,No errors
21,258.4800,No errors
22,248.8800,No errors
23,257.5200,No errors
24,261.8400,No errors
25,244.3200,No errors
26,247.6800,No errors
27,238.3200,No errors
28,260.1600,No errors
29,259.6800,No errors
30,262.3200,No errors
31,263.0400,No errors
32,233.2800,No errors
33,252.2400,No errors
34,251.2800,No errors
35,251.0400,No errors
36,233.2800,No errors
37,254.6400,No errors
38,259.6800,No errors
39,255.8400,No errors
40,243.6000,No errors
41,252.2400,No errors
42,249.1200,No errors
43,247.9200,No errors
44,232.0800,No errors
45,240.9600,No errors
46,246.4800,No errors
47,266.1600,No errors
48,263.0400,No errors
49,237.6000,No errors
50,250.0800,No errors
51,260.6400,No errors
52,253.4400,No errors
53,242.1600,No errors
54,247.9200,No errors
55,256.8000,No errors
56,248.8800,No errors
57,245.0400,No errors
58,250.5600,No errors
59,243.3600,No errors
60,254.4000,No errors


File Index,1
Sample #,9
Date,2022/11/29
Time,16:27:10
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),100,

Time Elapsed (s),Number (#/cm3),Status
1,110.1600,No errors
2,110.8800,No errors
3,114.4800,No errors
4,122.1600,No errors
5,102.4800,No errors
6,115.9200,No errors
7,107.2800,No errors
8,114.9600,No errors
9,118.8000,No errors
10,114.2400,No errors
11,116.4000,No errors
12,112.8000,No errors
13,113.7600,No errors
14,120.9600,No errors
15,112.8000,No errors
16,111.3600,No errors
17,109.4400,No errors
18,115.2000,No errors
19,115.2000,No errors
20,114.0000,No errors
21,114.4800,No errors
22,109.2000,No errors
23,109.2000,No errors
24,113.2800,No errors
25,113.7600,No errors
26,114.9600,No errors
27,112.8000,No errors
28,107.0400,No errors
29,101.0400,No errors
30,114.7200,No errors
31,109.6800,No errors
32,119.2800,No errors
33,114.9600,No errors
34,110.4000,No errors
35,125.5200,No errors
36,113.0400,No errors
37,117.3600,No errors
38,112.3200,No errors
39,109.6800,No errors
40,109.9200,No errors
41,113.7600,No errors
42,126.7200,No errors
43,119.0400,No errors
44,108.9600,No errors
45,102.2400,No errors
46,108.0000,No errors
47,115.9200,No errors
48,118.5600,No errors
49,126.2400,No errors
50,114.9600,No errors
51,120.7200,No errors
52,109.2000,No errors
53,111.1200,No errors
54,108.0000,No errors
55,117.1200,No errors
56,115.2000,No errors
57,111.1200,No errors
58,107.2800,No errors
59,112.8000,No errors
60,112.8000,No errors


File Index,1
Sample #,10
Date,2022/11/29
Time,16:29:43
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),100,

Time Elapsed (s),Number (#/cm3),Status
1,93.8400,No errors
2,79.4400,No errors
3,68.4000,No errors
4,55.4400,No errors
5,56.6400,No errors
6,54.9600,No errors
7,53.0400,No errors
8,55.2000,No errors
9,62.1600,No errors
10,51.8400,No errors
11,60.0000,No errors
12,53.0400,No errors
13,51.3600,No errors
14,52.0800,No errors
15,54.7200,No errors
16,54.2400,No errors
17,54.7200,No errors
18,57.1200,No errors
19,54.0000,No errors
20,56.6400,No errors
21,56.8800,No errors
22,53.7600,No errors
23,51.1200,No errors
24,62.8800,No errors
25,57.3600,No errors
26,53.2800,No errors
27,53.5200,No errors
28,54.0000,No errors
29,56.1600,No errors
30,54.9600,No errors
31,52.5600,No errors
32,53.2800,No errors
33,48.0000,No errors
34,60.4800,No errors
35,52.5600,No errors
36,50.8800,No errors
37,56.8800,No errors
38,50.1600,No errors
39,56.1600,No errors
40,58.8000,No errors
41,54.0000,No errors
42,54.4800,No errors
43,54.4800,No errors
44,50.8800,No errors
45,56.1600,No errors
46,58.0800,No errors
47,54.7200,No errors
48,53.7600,No errors
49,51.6000,No errors
50,58.3200,No errors
51,58.0800,No errors
52,51.6000,No errors
53,58.0800,No errors
54,54.0000,No errors
55,49.4400,No errors
56,53.2800,No errors
57,57.3600,No errors
58,49.4400,No errors
59,55.2000,No errors
60,53.0400,No errors


File Index,1
Sample #,11
Date,2022/11/29
Time,16:31:59
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),120,

Time Elapsed (s),Number (#/cm3),Status
1,33.1200,No errors
2,28.5600,No errors
3,28.8000,No errors
4,30.0000,No errors
5,27.6000,No errors
6,27.6000,No errors
7,34.5600,No errors
8,30.9600,No errors
9,27.3600,No errors
10,26.8800,No errors
11,25.6800,No errors
12,28.0800,No errors
13,32.6400,No errors
14,30.2400,No errors
15,29.5200,No errors
16,26.8800,No errors
17,31.2000,No errors
18,32.6400,No errors
19,30.9600,No errors
20,32.6400,No errors
21,29.7600,No errors
22,28.8000,No errors
23,30.4800,No errors
24,26.4000,No errors
25,31.2000,No errors
26,28.3200,No errors
27,31.4400,No errors
28,33.6000,No errors
29,28.0800,No errors
30,29.2800,No errors
31,31.2000,No errors
32,29.0400,No errors
33,32.1600,No errors
34,26.6400,No errors
35,32.8800,No errors
36,29.0400,No errors
37,30.9600,No errors
38,31.2000,No errors
39,37.9200,No errors
40,33.6000,No errors
41,31.2000,No errors
42,27.8400,No errors
43,33.3600,No errors
44,26.6400,No errors
45,28.5600,No errors
46,33.6000,No errors
47,32.1600,No errors
48,26.8800,No errors
49,27.6000,No errors
50,27.6000,No errors
51,26.8800,No errors
52,29.0400,No errors
53,30.4800,No errors
54,32.1600,No errors
55,29.0400,No errors
56,28.3200,No errors
57,27.6000,No errors
58,28.3200,No errors
59,30.7200,No errors
60,31.6800,No errors


File Index,1
Sample #,12
Date,2022/11/29
Time,16:33:26
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),120,

Time Elapsed (s),Number (#/cm3),Status
1,11.7600,No errors
2,12.7200,No errors
3,12.7200,No errors
4,15.6000,No errors
5,15.6000,No errors
6,12.2400,No errors
7,12.2400,No errors
8,10.8000,No errors
9,17.5200,No errors
10,12.9600,No errors
11,14.6400,No errors
12,14.8800,No errors
13,13.4400,No errors
14,16.0800,No errors
15,14.8800,No errors
16,12.0000,No errors
17,11.5200,No errors
18,12.7200,No errors
19,12.0000,No errors
20,14.6400,No errors
21,13.6800,No errors
22,11.7600,No errors
23,12.9600,No errors
24,12.7200,No errors
25,13.2000,No errors
26,12.9600,No errors
27,12.9600,No errors
28,12.9600,No errors
29,14.4000,No errors
30,12.2400,No errors
31,13.4400,No errors
32,12.4800,No errors
33,14.4000,No errors
34,10.0800,No errors
35,11.5200,No errors
36,19.4400,No errors
37,12.9600,No errors
38,13.6800,No errors
39,17.5200,No errors
40,15.3600,No errors
41,14.4000,No errors
42,11.7600,No errors
43,12.9600,No errors
44,13.2000,No errors
45,13.6800,No errors
46,12.7200,No errors
47,13.9200,No errors
48,11.7600,No errors
49,12.2400,No errors
50,10.0800,No errors
51,10.8000,No errors
52,13.4400,No errors
53,14.8800,No errors
54,13.9200,No errors
55,12.0000,No errors
56,12.0000,No errors
57,17.0400,No errors
58,13.2000,No errors
59,13.6800,No errors
60,14.8800,No errors


File Index,1
Sample #,13
Date,2022/11/29
Time,16:37:02
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),140,

Time Elapsed (s),Number (#/cm3),Status
1,25.2000,No errors
2,22.0800,No errors
3,21.6000,No errors
4,21.3600,No errors
5,22.5600,No errors
6,20.6400,No errors
7,24.0000,No errors
